,Time,Latitude,Longitude,Bitrate,Distance
0,12:22:46.250000,52.315813821,10.561696827,22.8,1.5605862462295275
1,12:22:47.250000,52.315814871,10.561700023,17.7,1.544850820668954
2,12:22:48.250000,52.31582362,10.561714072,20.3,1.7506295584462341
3,12:22:49.250000,52.315838009,10.561738842,18.2,3.612923836984558
4,12:22:50.250000,52.315854166,10.561773564,13.0,6.510972718943903
5,12:22:51.250000,52.315869934,10.561820537,12.5,10.162886576153564
6,12:22:52.250000,52.315882905,10.561879789,12.5,14.42127025963091
7,12:22:53.250000,52.315890265,10.561945385,15.6,18.84784780388069
8,12:22:54.250000,52.315892223,10.562014327,9.38,23.342161417337078
9,12:22:56.250000,52.315885321,10.562155543,9.39,32.47036726338712
10,12:22:57.250000,52.315878682,10.562222003,6.25,36.79953248925766
11,12:22:58.250000,52.315872273,10.56228512,9.39,40.96253382866854
12,12:22:59.250000,52.315866305,10.562342525,6.25,44.7803297377598
13,12:23:00.250000,52.315860617,10.562394843,12.5,48.27912732656627
14,12:23:01.250000,52.315855341,10.56244723,10.9,51.80253804476451
15,12:23:02.250000,52.31585067,10.562500723,7.82,55.41696812533632
16,12:23:03.250000,52.315846134,10.562554163,7.3,59.03701786546151
17,12:23:04.250000,52.315841108,10.562607009,3.65,62.6220580489541
18,12:23:06.250000,52.315831437,10.562716617,3.65,70.0786937661109
19,12:23:07.250000,52.315826696,10.562772705,3.65,73.90181172229192
20,12:23:08.250000,52.315821991,10.562829065,3.65,77.74720035751041
21,12:23:09.250000,52.315817681,10.562886279,3.65,81.6534230226196
22,12:23:10.250000,52.315813147,10.562943152,3.65,85.53911107285445
23,12:23:12.250000,52.315804355,10.563063012,3.65,93.73279808228972
