,Time,Latitude,Longitude,Bitrate,Distance
0,13:45:37.248000,52.315839627,10.562723889,8.36,70.58683758084678
1,13:45:37.248000,52.315839627,10.562723889,22.0,70.58683758084678
2,13:45:37.248000,52.315839627,10.562723889,21.5,70.58683758084678
3,13:45:39.248000,52.315841257,10.562708195,2.09,69.52072295937663
4,13:45:40.248000,52.315842783,10.56268398,2.09,67.87403453509245
5,13:45:41.248000,52.315844882,10.562643404,2.08,65.11469229995969
6,13:45:42.248000,52.315848134,10.562587504,4.17,61.317368224455
7,13:45:43.248000,52.315852671,10.562522063,10.4,56.88136332110694
8,13:45:44.248000,52.315858468,10.562453954,16.7,52.282377678744595
9,13:45:45.248000,52.315863492,10.562384863,18.8,47.62683633553567
10,13:45:46.248000,52.315870312,10.562312312,16.7,42.778253974825155
11,13:45:47.248000,52.315876353,10.562237329,17.2,37.793654503478116
12,13:45:48.248000,52.315881973,10.562167788,20.9,33.218353793526795
13,13:45:49.248000,52.315886457,10.562100302,35.4,28.81789167390173
14,13:45:50.248000,52.315887569,10.562030578,32.3,24.248874703994666
15,13:45:51.248000,52.315883221,10.561961112,30.8,19.582454705330328
16,13:45:52.248000,52.315872624,10.561893692,51.6,14.853222446302642
17,13:45:53.248000,52.315856692,10.561828773,70.4,10.08800681459548
18,13:45:54.248000,52.315835035,10.561767764,72.4,5.445109632478585
19,13:45:55.248000,52.3158077,10.561713068,72.5,2.702942473760302
20,13:45:56.248000,52.315776758,10.561666999,47.4,5.788414775439446
21,13:45:57.248000,52.315742613,10.561632203,43.3,10.157470863124393
22,13:45:58.248000,52.3156976,10.561612908,35.5,15.305238070980858
23,13:45:59.248000,52.315650734,10.561599758,23.5,20.536160044021383
24,13:46:00.248000,52.315600553,10.561593228,4.17,26.030165045118643
25,13:46:01.248000,52.315547457,10.561585065,8.86,31.902970139398732
26,13:46:02.248000,52.315497438,10.561573158,4.17,37.51269025486606
27,13:46:03.248000,52.315449522,10.561563101,4.69,42.871712389950105
28,13:46:05.248000,52.315356673,10.561538051,4.69,53.33760348068568
